,ccp_alpha,criterion,min_samples_split,auc (mean),auc (std),auc (se)
446,0.0004952725309304698,gini,26,0.7961287582089005,0.013128149079610704,0.005871086752152166
447,0.0028075893645747984,entropy,38,0.824054944601387,0.00879331691508996,0.003932490873967979
448,0.07748982780980232,gini,24,0.5,0.0,0.0
449,3.3334430251832567,entropy,3,0.5,0.0,0.0
450,0.0508117953022621,entropy,22,0.7247867913353844,0.013577451431626314,0.006072020872463655
451,0.005771471805164584,gini,10,0.7957942176714763,0.01382353105122571,0.0061820710239239626
452,0.025859091323246566,gini,25,0.7247867913353844,0.013577451431626314,0.006072020872463655
453,0.0026797550974218065,entropy,29,0.8252073746455695,0.0095776078973293,0.004283236464053428
454,107.91132787227733,gini,37,0.5,0.0,0.0
455,7.599096969029176,entropy,16,0.5,0.0,0.0
456,0.07537090271619985,entropy,24,0.7247867913353844,0.013577451431626314,0.006072020872463655
457,7.998710849237605,entropy,27,0.5,0.0,0.0
458,0.4346155115476062,entropy,27,0.5,0.0,0.0
459,0.4828758416316594,entropy,32,0.5,0.0,0.0
460,0.03728114646436211,gini,14,0.7247867913353844,0.013577451431626314,0.006072020872463655
461,0.2615342131122654,gini,25,0.5,0.0,0.0
462,791.7967081543276,gini,40,0.5,0.0,0.0
463,30.99231883253343,entropy,26,0.5,0.0,0.0
464,62.21599464433312,gini,24,0.5,0.0,0.0
465,0.0007423401664990002,entropy,29,0.7718227296788767,0.007149057683597578,0.0031971557911182735
466,0.33878009197739617,gini,4,0.5,0.0,0.0
467,0.03700893458755079,entropy,20,0.7247867913353844,0.013577451431626314,0.006072020872463655
468,0.000419130046054466,gini,39,0.8020172783269304,0.014919425839934447,0.0066721700726720635
469,0.05847081989092711,gini,19,0.7247867913353844,0.013577451431626314,0.006072020872463655
470,0.00033060827768556695,gini,19,0.7649847041258079,0.02467182933908157,0.01103357750629202
471,0.004346483159213182,gini,6,0.7957942176714763,0.01382353105122571,0.0061820710239239626
472,39.024646590988084,gini,27,0.5,0.0,0.0
473,6.3609551537507185,entropy,31,0.5,0.0,0.0
474,7.759370125835311,entropy,13,0.5,0.0,0.0
475,0.00035933964839011425,gini,39,0.7970171997101663,0.01589941358002328,0.007110433913463069
476,0.0014056459418423852,gini,33,0.8170918004680319,0.010391337835061527,0.004647147555272614
477,0.0001416083976114002,entropy,5,0.6782279011551424,0.016666314438966868,0.007453402403983237
478,0.0004815059835624248,entropy,32,0.7672766448592497,0.010894298409906925,0.00487207836234395
479,0.0005111302883898981,entropy,15,0.7288942830544186,0.012696262147236773,0.005677941044275774
480,526.0328200547742,entropy,7,0.5,0.0,0.0
481,180.99177711859286,gini,2,0.5,0.0,0.0
482,0.0026901583832684445,gini,17,0.8005451270053825,0.013115199100449261,0.005865295345409728
483,0.00597985540817767,gini,38,0.7957942176714763,0.01382353105122571,0.0061820710239239626
484,532.2858777908209,entropy,15,0.5,0.0,0.0
485,0.9772001610550528,gini,34,0.5,0.0,0.0
486,0.037989453745160724,entropy,34,0.7247867913353844,0.013577451431626314,0.006072020872463655
487,0.18442085890113788,entropy,13,0.5,0.0,0.0
488,0.008043955155048316,entropy,3,0.8066652390080662,0.01321560333569948,0.005910197484459402
489,1.2163007090747937,gini,34,0.5,0.0,0.0
490,11.93720787433095,entropy,8,0.5,0.0,0.0
491,0.4056372130072607,gini,5,0.5,0.0,0.0
492,55.54747750686417,entropy,40,0.5,0.0,0.0
493,0.0006201171543372024,gini,32,0.8134518131646391,0.011044167465055387,0.004939101841351075
